round_epochs,val_loss,val_acc,loss,acc,activation,first_neuron,optimizer,losses,hidden_layers,batch_size,epochs
100,0.6754748537426903,0.6904762131827218,0.11782808837137725,0.9894736942492033,<function tanh at 0x7fedd61ae1e0>,24,Adam,binary_crossentropy,1,40,100
100,0.613953879901341,0.7380952409335545,0.11805786506125801,0.989473675426684,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,0,30,100
10,0.6209430353982108,0.7142856972558158,0.4989375911260906,0.8315789479958383,<function tanh at 0x7fedd61ae1e0>,24,Adam,binary_crossentropy,0,30,10
100,0.6315820046833583,0.6904761961528233,0.11662219543206065,1.0,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,1,30,100
10,0.6509376764297485,0.6904761847995576,0.5203938970440313,0.7473684204252142,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,1,20,10
10,0.6099468469619751,0.6904762131827218,0.5949384413267437,0.7263157963752747,<function tanh at 0x7fedd61ae1e0>,12,Adam,binary_crossentropy,0,40,10
10,0.6605111644381568,0.666666655313401,0.5098422514764887,0.7789473753226431,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,1,40,10
100,0.5941689127967471,0.7380952380952381,0.22278127387950294,0.9473684273268047,<function tanh at 0x7fedd61ae1e0>,12,Adam,binary_crossentropy,2,40,100
10,0.6938946530932472,0.5952380952380952,0.5170075626749742,0.8000000056467558,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,2,40,10
10,0.7062821047646659,0.5238095351627895,0.6506082227355555,0.6526315871037935,<function relu at 0x7fedd61ae158>,12,Adam,binary_crossentropy,2,40,10
10,0.6385339328220913,0.7142857142857143,0.5009672233932897,0.77894736904847,<function tanh at 0x7fedd61ae1e0>,24,Adam,binary_crossentropy,0,20,10
10,0.6664153451011294,0.5952380952380952,0.6175024415317335,0.6947368446149325,<function tanh at 0x7fedd61ae1e0>,12,Adam,binary_crossentropy,1,40,10
100,0.610871882665725,0.7142857142857143,0.1239386836164876,0.9894736848379436,<function linear at 0x7fedd61ae400>,12,Adam,binary_crossentropy,2,20,100
100,0.6384752080554054,0.7380952153887067,0.1859813105118902,0.9684210576509175,<function linear at 0x7fedd61ae400>,12,Adam,binary_crossentropy,0,40,100
100,0.612075686454773,0.714285705770765,0.16499354062896027,0.9789473696758872,<function linear at 0x7fedd61ae400>,12,Adam,binary_crossentropy,1,30,100
10,0.6382148861885071,0.6904761847995576,0.5554249945439791,0.7473684329735605,<function linear at 0x7fedd61ae400>,12,Adam,binary_crossentropy,1,20,10
10,0.6350559223265875,0.6904761847995576,0.5315783541453513,0.8210526296966955,<function relu at 0x7fedd61ae158>,24,Adam,binary_crossentropy,0,20,10
100,0.6337465899331229,0.666666655313401,0.18150521265833,0.9894736942492033,<function linear at 0x7fedd61ae400>,12,Adam,binary_crossentropy,2,40,100
10,0.7018725105694362,0.5952380895614624,0.5306639138020968,0.7684210570235002,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,1,30,10
100,0.5939975551196507,0.6904761961528233,0.18511220185380234,0.9789473508533678,<function relu at 0x7fedd61ae158>,12,Adam,binary_crossentropy,1,30,100
10,0.6050707726251512,0.6904761847995576,0.540827253931447,0.7578947449985304,<function relu at 0x7fedd61ae158>,12,Adam,binary_crossentropy,1,20,10
10,0.6239064420972552,0.7142857142857143,0.5287535755257857,0.7894737061701322,<function tanh at 0x7fedd61ae1e0>,24,Adam,binary_crossentropy,1,40,10
10,0.6880848578044346,0.6904761847995576,0.513037687853763,0.7578947512727034,<function tanh at 0x7fedd61ae1e0>,24,Adam,binary_crossentropy,2,20,10
100,0.6328675661768232,0.6666666524750846,0.17790388747265465,0.9789473696758872,<function tanh at 0x7fedd61ae1e0>,12,Adam,binary_crossentropy,1,30,100
10,0.6369407063438779,0.6904762131827218,0.5862961787926523,0.7578947293130975,<function relu at 0x7fedd61ae158>,12,Adam,binary_crossentropy,1,40,10
10,0.6563967892101833,0.6190476332392011,0.550444461797413,0.7263157963752747,<function linear at 0x7fedd61ae400>,12,Adam,binary_crossentropy,2,30,10
100,0.6228389399392265,0.6904761847995576,0.06561235044347613,1.0,<function relu at 0x7fedd61ae158>,24,Adam,binary_crossentropy,0,20,100
10,0.5957250481560117,0.7619047732580275,0.5648371765488073,0.7368421052631579,<function linear at 0x7fedd61ae400>,12,Adam,binary_crossentropy,0,20,10
100,0.6231888248806908,0.6904762131827218,0.24753777290645398,0.9368421058905753,<function relu at 0x7fedd61ae158>,12,Adam,binary_crossentropy,0,40,100
10,0.6375528488840375,0.6666666780199323,0.5430948342147627,0.7473684172881278,<function tanh at 0x7fedd61ae1e0>,12,Adam,binary_crossentropy,1,30,10
100,0.6286237296603975,0.7142857142857143,0.1110549478938705,1.0,<function linear at 0x7fedd61ae400>,12,Adam,binary_crossentropy,0,20,100
